Image,Brand
.\Canon\c2_48.tif,canon
.\Canon\c1_15.tif,canon
.\Hp\c11_43.tif,hp
.\Epson\c6_14.tif,epson
.\Hp\c11_70.tif,hp
.\Epson\s7_3.tif,epson
.\Epson\s6_16.tif,epson
.\Epson\c9_33.tif,epson
.\Epson\c9_51.tif,epson
.\Canon\c2_45.tif,canon
.\Epson\c10_8.tif,epson
.\Canon\s2_4.tif,canon
.\Hp\s11_46.tif,hp
.\Canon\c1_60.tif,canon
.\Canon\s2_16.tif,canon
.\Epson\s10_31.tif,epson
.\Canon\c3_33.tif,canon
.\Epson\s9_23.tif,epson
.\Canon\c4_5.tif,canon
.\Canon\c1_13.tif,canon
.\Canon\s3_17.tif,canon
.\Epson\s9_3.tif,epson
.\Epson\c7_60.tif,epson
.\Epson\s6_9.tif,epson
.\Hp\s11_48.tif,hp
.\Hp\s11_24.tif,hp
.\Hp\s11_71.tif,hp
.\Canon\c1_29.tif,canon
.\Canon\c5_34.tif,canon
.\Hp\s11_70.tif,hp
.\Canon\c4_3.tif,canon
.\Epson\s7_35.tif,epson
.\Hp\s11_56.tif,hp
.\Epson\s6_19.tif,epson
.\Canon\c5_4.tif,canon
.\Canon\s5_28.tif,canon
.\Canon\c3_20.tif,canon
.\Canon\s5_18.tif,canon
.\Epson\c9_10.tif,epson
.\Canon\c5_58.tif,canon
.\Canon\c4_19.tif,canon
.\Canon\s5_3.tif,canon
.\Hp\s11_42.tif,hp
.\Epson\c8_31.tif,epson
.\Epson\s6_3.tif,epson
.\Hp\c11_38.tif,hp
.\Hp\s11_19.tif,hp
.\Epson\c6_54.tif,epson
.\Canon\c1_1.tif,canon
.\Canon\c3_56.tif,canon
.\Epson\c9_25.tif,epson
.\Hp\s11_55.tif,hp
.\Canon\c2_30.tif,canon
.\Canon\c4_45.tif,canon
.\Epson\s7_19.tif,epson
.\Epson\s7_33.tif,epson
.\Epson\c7_42.tif,epson
.\Canon\s5_16.tif,canon
.\Canon\s2_34.tif,canon
.\Canon\c2_29.tif,canon
.\Epson\s7_13.tif,epson
.\Epson\c10_27.tif,epson
.\Canon\c4_23.tif,canon
.\Hp\c11_64.tif,hp
.\Epson\c9_43.tif,epson
.\Canon\c4_29.tif,canon
.\Canon\c4_59.tif,canon
.\Epson\s8_9.tif,epson
.\Epson\s8_19.tif,epson
.\Hp\c11_57.tif,hp
.\Canon\c2_21.tif,canon
.\Epson\s9_36.tif,epson
.\Epson\s10_23.tif,epson
.\Epson\c9_30.tif,epson
.\Epson\s6_33.tif,epson
.\Epson\c10_20.tif,epson
.\Hp\c11_79.tif,hp
.\Epson\s7_25.tif,epson
.\Epson\c9_1.tif,epson
.\Epson\s7_5.tif,epson
.\Epson\c7_13.tif,epson
.\Epson\c9_13.tif,epson
.\Hp\c11_67.tif,hp
.\Epson\c10_57.tif,epson
.\Canon\c4_58.tif,canon
.\Epson\s6_23.tif,epson
.\Epson\c8_11.tif,epson
.\Hp\s11_15.tif,hp
.\Epson\c6_56.tif,epson
.\Hp\c11_10.tif,hp
.\Epson\c10_55.tif,epson
.\Canon\c5_60.tif,canon
.\Canon\s3_8.tif,canon
.\Hp\s11_64.tif,hp
.\Epson\c8_47.tif,epson
.\Epson\c9_21.tif,epson
.\Hp\s11_72.tif,hp
.\Epson\s7_12.tif,epson
.\Epson\c9_53.tif,epson
.\Epson\s9_24.tif,epson
.\Hp\s11_54.tif,hp
.\Epson\s7_16.tif,epson
.\Canon\c1_49.tif,canon
.\Hp\c11_66.tif,hp
.\Hp\c11_24.tif,hp
.\Epson\c7_46.tif,epson
.\Hp\s11_89.tif,hp
.\Canon\s3_30.tif,canon
.\Epson\c10_49.tif,epson
.\Canon\c4_13.tif,canon
.\Epson\c10_13.tif,epson
.\Epson\c10_6.tif,epson
.\Hp\s11_36.tif,hp
.\Canon\s5_9.tif,canon
.\Canon\c2_19.tif,canon
.\Hp\c11_1.tif,hp
.\Epson\c9_6.tif,epson
.\Epson\s9_2.tif,epson
.\Epson\s8_24.tif,epson
.\Hp\c11_65.tif,hp
.\Hp\c11_22.tif,hp
.\Canon\s5_4.tif,canon
.\Canon\c4_49.tif,canon
.\Canon\s2_12.tif,canon
.\Hp\c11_6.tif,hp
.\Canon\s1_30.tif,canon
.\Epson\s6_39.tif,epson
.\Canon\c1_50.tif,canon
.\Epson\s6_14.tif,epson
.\Canon\s1_25.tif,canon
.\Epson\s9_15.tif,epson
.\Canon\s3_9.tif,canon
.\Canon\c1_41.tif,canon
.\Canon\s5_1.tif,canon
.\Hp\s11_52.tif,hp
.\Canon\c1_11.tif,canon
.\Canon\c3_43.tif,canon
.\Epson\c7_50.tif,epson
.\Epson\s6_26.tif,epson
.\Canon\c5_6.tif,canon
.\Epson\c10_3.tif,epson
.\Epson\s10_35.tif,epson
.\Canon\s2_35.tif,canon
.\Hp\s11_16.tif,hp
.\Epson\c10_45.tif,epson
.\Epson\c8_59.tif,epson
.\Canon\c5_53.tif,canon
.\Canon\s1_1.tif,canon
.\Canon\c4_60.tif,canon
.\Epson\c6_30.tif,epson
.\Epson\c9_41.tif,epson
.\Canon\c2_49.tif,canon
.\Canon\c3_11.tif,canon
.\Epson\s8_2.tif,epson
.\Epson\c6_57.tif,epson
.\Epson\s6_7.tif,epson
.\Canon\s5_39.tif,canon
.\Canon\c3_55.tif,canon
.\Canon\c2_60.tif,canon
.\Epson\s7_29.tif,epson
.\Epson\s6_15.tif,epson
.\Canon\s3_13.tif,canon
.\Canon\c2_15.tif,canon
.\Canon\c2_52.tif,canon
.\Epson\c6_46.tif,epson
.\Epson\s9_11.tif,epson
.\Canon\c2_1.tif,canon
.\Epson\c8_28.tif,epson
.\Canon\c2_46.tif,canon
.\Epson\c7_4.tif,epson
.\Epson\c8_32.tif,epson
.\Canon\c4_35.tif,canon
.\Canon\c1_45.tif,canon
.\Hp\s11_79.tif,hp
.\Hp\s11_10.tif,hp
.\Epson\c7_12.tif,epson
.\Canon\s3_21.tif,canon
.\Hp\s11_45.tif,hp
.\Epson\c10_17.tif,epson
.\Epson\c8_23.tif,epson
.\Canon\c3_51.tif,canon
.\Hp\c11_27.tif,hp
.\Epson\s7_20.tif,epson
.\Hp\s11_95.tif,hp
.\Epson\c9_22.tif,epson
.\Epson\s9_16.tif,epson
.\Hp\c11_88.tif,hp
.\Canon\s4_37.tif,canon
.\Epson\s9_5.tif,epson
.\Epson\c8_14.tif,epson
.\Canon\c4_7.tif,canon
.\Canon\c4_48.tif,canon
.\Canon\s2_10.tif,canon
.\Hp\s11_91.tif,hp
.\Canon\c5_50.tif,canon
.\Epson\c8_1.tif,epson
.\Epson\c9_48.tif,epson
.\Epson\c9_3.tif,epson
.\Epson\c7_3.tif,epson
.\Epson\s6_32.tif,epson
.\Canon\c2_26.tif,canon
.\Epson\s10_29.tif,epson
.\Canon\c5_18.tif,canon
.\Hp\s11_30.tif,hp
.\Hp\c11_5.tif,hp
.\Epson\s7_10.tif,epson
.\Hp\s11_27.tif,hp
.\Canon\c5_49.tif,canon
.\Canon\s5_34.tif,canon
.\Hp\c11_53.tif,hp
.\Epson\c8_37.tif,epson
.\Hp\c11_36.tif,hp
.\Canon\c3_38.tif,canon
.\Epson\s10_10.tif,epson
.\Hp\c11_77.tif,hp
.\Epson\c9_38.tif,epson
.\Canon\c4_40.tif,canon
.\Epson\s8_29.tif,epson
.\Canon\c2_42.tif,canon
.\Epson\c9_4.tif,epson
.\Hp\c11_15.tif,hp
.\Epson\c10_32.tif,epson
.\Canon\c5_52.tif,canon
.\Canon\s5_6.tif,canon
.\Canon\s3_27.tif,canon
.\Hp\s11_17.tif,hp
.\Epson\c6_20.tif,epson
.\Canon\s1_21.tif,canon
.\Canon\c4_26.tif,canon
.\Canon\s5_2.tif,canon
.\Hp\c11_46.tif,hp
.\Canon\s1_24.tif,canon
.\Canon\c4_10.tif,canon
.\Epson\c10_46.tif,epson
.\Epson\s7_2.tif,epson
.\Epson\c7_43.tif,epson
.\Canon\s3_4.tif,canon
.\Epson\s9_6.tif,epson
.\Canon\s4_15.tif,canon
.\Hp\s11_33.tif,hp
.\Hp\c11_29.tif,hp
.\Hp\s11_38.tif,hp
.\Epson\c6_42.tif,epson
.\Epson\c9_31.tif,epson
.\Epson\c6_26.tif,epson
.\Canon\c2_55.tif,canon
.\Hp\c11_95.tif,hp
.\Canon\c5_14.tif,canon
.\Epson\c8_29.tif,epson
.\Epson\c9_57.tif,epson
.\Hp\s11_92.tif,hp
.\Epson\c9_44.tif,epson
.\Epson\c6_12.tif,epson
.\Canon\c1_27.tif,canon
.\Epson\s7_1.tif,epson
.\Canon\c3_46.tif,canon
.\Hp\c11_23.tif,hp
.\Canon\s2_2.tif,canon
.\Epson\c10_29.tif,epson
.\Canon\c5_8.tif,canon
.\Epson\c8_60.tif,epson
.\Canon\c2_17.tif,canon
.\Epson\c8_15.tif,epson
.\Hp\s11_31.tif,hp
.\Hp\c11_78.tif,hp
.\Canon\s3_33.tif,canon
.\Canon\c5_36.tif,canon
.\Epson\c6_58.tif,epson
.\Canon\c5_26.tif,canon
.\Epson\c9_60.tif,epson
.\Epson\c10_34.tif,epson
.\Canon\c3_35.tif,canon
.\Epson\c8_27.tif,epson
.\Canon\s4_29.tif,canon
.\Epson\c7_48.tif,epson
.\Canon\s5_23.tif,canon
.\Epson\s6_10.tif,epson
.\Canon\c1_10.tif,canon
.\Canon\s3_32.tif,canon
.\Epson\c10_59.tif,epson
.\Epson\c9_35.tif,epson
.\Canon\s2_39.tif,canon
.\Canon\s4_28.tif,canon
.\Canon\c1_53.tif,canon
.\Canon\s5_30.tif,canon
.\Epson\s10_14.tif,epson
.\Epson\s7_28.tif,epson
.\Epson\c6_8.tif,epson
.\Canon\s2_23.tif,canon
.\Epson\c8_17.tif,epson
.\Canon\c2_22.tif,canon
